"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"1",2016,"Aaron Baddeley","146",0,0,71.539,34,18.48,57.56,284.5,4.55,64.71,"757.167",28.38,62.5,-0.556,-0.612
"2",2017,"Aaron Baddeley","146",0,0,71.539,34,18.48,57.56,284.5,4.55,64.71,"757.167",28.38,62.5,-0.556,-0.612
"3",2018,"Aaron Baddeley","146",0,0,71.539,34,18.48,57.56,284.5,4.55,64.71,"757.167",28.38,62.5,-0.556,-0.612
"4",2019,"Aaron Baddeley","146",0,0,71.539,34,18.48,57.56,284.5,4.55,64.71,"757.167",28.38,62.5,-0.556,-0.612
"5",2016,"Aaron Wise","104",1,0,70.907,44,22.88,54.9,302.5,4.61,70.96,"1,615.333",30,60,0.752,-0.042
"6",2017,"Aaron Wise","104",1,0,70.907,44,22.88,54.9,302.5,4.61,70.96,"1,615.333",30,60,0.752,-0.042
"7",2018,"Aaron Wise","104",1,0,70.907,44,22.88,54.9,302.5,4.61,70.96,"1,615.333",30,60,0.752,-0.042
"8",2019,"Aaron Wise","104",1,0,70.907,44,22.88,54.9,302.5,4.61,70.96,"1,615.333",30,60,0.752,-0.042
"9",2016,"Abraham Ancer","T53",2,0,70.548,59,26.15,72.45,290.5,4.58,70.44,"2,024.750",28.86,63.09,0.703,0.785
"10",2017,"Abraham Ancer","T53",2,0,70.548,59,26.15,72.45,290.5,4.58,70.44,"2,024.750",28.86,63.09,0.703,0.785
"11",2018,"Abraham Ancer","T53",2,0,70.548,59,26.15,72.45,290.5,4.58,70.44,"2,024.750",28.86,63.09,0.703,0.785
"12",2019,"Abraham Ancer","T53",2,0,70.548,59,26.15,72.45,290.5,4.58,70.44,"2,024.750",28.86,63.09,0.703,0.785
"13",2016,"Adam Hadwin","102",1,0,71.115,54,24.53,61.97,294.4,4.72,62.35,"2,164.000",28.41,60.66,0.039,0.364
"14",2017,"Adam Hadwin","102",1,0,71.115,54,24.53,61.97,294.4,4.72,62.35,"2,164.000",28.41,60.66,0.039,0.364
"15",2018,"Adam Hadwin","102",1,0,71.115,54,24.53,61.97,294.4,4.72,62.35,"2,164.000",28.41,60.66,0.039,0.364
"16",2019,"Adam Hadwin","102",1,0,71.115,54,24.53,61.97,294.4,4.72,62.35,"2,164.000",28.41,60.66,0.039,0.364
"17",2016,"Adam Long","T127",2,0,71.183,55,17.81,65.42,290,4.66,63.46,"2,110.167",28.58,58.77,-0.437,-0.573
"18",2017,"Adam Long","T127",2,0,71.183,55,17.81,65.42,290,4.66,63.46,"2,110.167",28.58,58.77,-0.437,-0.573
"19",2018,"Adam Long","T127",2,0,71.183,55,17.81,65.42,290,4.66,63.46,"2,110.167",28.58,58.77,-0.437,-0.573
"20",2019,"Adam Long","T127",2,0,71.183,55,17.81,65.42,290,4.66,63.46,"2,110.167",28.58,58.77,-0.437,-0.573
