"yards","midpoint","fairway","rough"
38,38,2.705,2.811
39,NA,2.7084,2.81512
40,NA,2.7118,2.81924
41,NA,2.7152,2.82336
42,NA,2.7186,2.82748
43,NA,2.722,2.8316
44,NA,2.7254,2.83572
45,NA,2.7288,2.83984
46,NA,2.7322,2.84396
47,NA,2.7356,2.84808
48,NA,2.739,2.8522
49,NA,2.7424,2.85632
50,NA,2.7458,2.86044
51,NA,2.7492,2.86456
52,NA,2.7526,2.86868
53,NA,2.756,2.8728
54,NA,2.7594,2.87692
55,NA,2.7628,2.88104
56,NA,2.7662,2.88516
57,NA,2.7696,2.88928
58,NA,2.773,2.8934
59,NA,2.7764,2.89752
60,NA,2.7798,2.90164
61,NA,2.7832,2.90576
62,NA,2.7866,2.90988
63,63,2.79,2.914
64,NA,2.79084,2.9144
65,NA,2.79168,2.9148
66,NA,2.79252,2.9152
67,NA,2.79336,2.9156
68,NA,2.7942,2.916
69,NA,2.79504,2.9164
70,NA,2.79588,2.9168
71,NA,2.79672,2.9172
72,NA,2.79756,2.9176
73,NA,2.7984,2.918
74,NA,2.79924,2.9184
75,NA,2.80008,2.9188
76,NA,2.80092,2.9192
77,NA,2.80176,2.9196
78,NA,2.8026,2.92
79,NA,2.80344,2.9204
80,NA,2.80428,2.9208
81,NA,2.80512,2.9212
82,NA,2.80596,2.9216
83,NA,2.8068,2.922
84,NA,2.80764,2.9224
85,NA,2.80848,2.9228
86,NA,2.80932,2.9232
87,NA,2.81016,2.9236
88,88,2.811,2.924
89,NA,2.81248,2.92616
90,NA,2.81396,2.92832
91,NA,2.81544,2.93048
92,NA,2.81692,2.93264
93,NA,2.8184,2.9348
94,NA,2.81988,2.93696
95,NA,2.82136,2.93912
96,NA,2.82284,2.94128
97,NA,2.82432,2.94344
98,NA,2.8258,2.9456
99,NA,2.82728,2.94776
100,NA,2.82876,2.94992
101,NA,2.83024,2.95208
102,NA,2.83172,2.95424
103,NA,2.8332,2.9564
104,NA,2.83468,2.95856
105,NA,2.83616,2.96072
106,NA,2.83764,2.96288
107,NA,2.83912,2.96504
108,NA,2.8406,2.9672
109,NA,2.84208,2.96936
110,NA,2.84356,2.97152
111,NA,2.84504,2.97368
112,NA,2.84652,2.97584
113,113,2.848,2.978
114,NA,2.8502,2.97984
115,NA,2.8524,2.98168
116,NA,2.8546,2.98352
117,NA,2.8568,2.98536
118,NA,2.859,2.9872
119,NA,2.8612,2.98904
120,NA,2.8634,2.99088
121,NA,2.8656,2.99272
122,NA,2.8678,2.99456
123,NA,2.87,2.9964
124,NA,2.8722,2.99824
125,NA,2.8744,3.00008
126,NA,2.8766,3.00192
127,NA,2.8788,3.00376
128,NA,2.881,3.0056
